% Moku:Pro Data Logger
% Input 1, DC coupling, 1 MOhm impedance, 400 mVpp range
% Input 2, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 3, DC coupling, 1 MOhm impedance, 4 Vpp range
% Input 4, DC coupling, 1 MOhm impedance, 4 Vpp range
% Acquisition rate: 1.0000000000e+03 Hz, Precision mode, trigger: Input 2, level: 0.000 V
% Output 1 (on) - Sine, 1.000 000 Hz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, output termination 50 Ohm
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %, output termination 50 Ohm
% Output 3 (off) - Square, 80.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg, duty cycle 50.00 %, output termination 50 Ohm
% Output 4 (off) - Pulse, 10.000 000 000 kHz, 200.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, width 1.000 us, edge 2.000 ns, output termination 50 Ohm
% Internal 10 MHz clock
% Acquired 2024-09-17 T 00:24:43 +1000
% Time (s), Input 1 (V), Input 2 (V), Input 3 (V), Input 4 (V)
0.0000000000e+00, -3.0777146005e-03, -2.3172410917e-02, 1.2113484210e-05, 4.7358932619e-05
1.0000000000e-03, -3.0638354223e-03, -1.6878942586e-02, 1.2318797502e-06, 4.3252666785e-05
2.0000000000e-03, -3.0452477261e-03, -1.0689910283e-02, 9.5812869461e-06, 4.2910477966e-05
3.0000000000e-03, -3.0690093171e-03, -4.4518765417e-03, 8.2809694320e-06, 4.0241405173e-05
4.0000000000e-03, -3.0535492267e-03, 1.8469299344e-03, 1.1429106571e-05, 4.1610160451e-05
5.0000000000e-03, -3.0604614406e-03, 8.1380029432e-03, 1.7930694142e-05, 3.9351714243e-05
6.0000000000e-03, -3.0583330262e-03, 1.4419631541e-02, 1.1360668807e-05, 4.1541722688e-05
7.0000000000e-03, -3.0504900587e-03, 2.0704682026e-02, 1.0813166696e-05, 4.5716426285e-05
8.0000000000e-03, -3.0507843411e-03, 2.6930944472e-02, 3.8325147784e-06, 4.3184229021e-05
9.0000000000e-03, -3.0881513592e-03, 3.3135443710e-02, 5.8172099315e-06, 4.3800168896e-05
1.0000000000e-02, -3.0877886391e-03, 3.9395788163e-02, 1.7109440975e-06, 4.5716426285e-05
1.1000000000e-02, -3.0744911819e-03, 4.5748112970e-02, -4.1062658340e-07, 4.4279233244e-05
1.2000000000e-02, -3.0751481844e-03, 5.2028851877e-02, 3.4903259589e-06, 4.5305799702e-05
1.3000000000e-02, -3.0598318132e-03, 5.8245806787e-02, 3.4218881950e-06, 4.6400803924e-05
1.4000000000e-02, -3.0584972769e-03, 6.4531336337e-02, 1.2387235266e-05, 3.8256710020e-05
1.5000000000e-02, -3.0398069240e-03, 7.0804820840e-02, 7.7334673207e-06, 4.2978915729e-05
1.6000000000e-02, -3.0831622463e-03, 7.7078373782e-02, 1.2660986322e-05, 3.8188272256e-05
1.7000000000e-02, -3.0580455876e-03, 8.3338718234e-02, 2.1900084448e-06, 4.6948306036e-05
1.8000000000e-02, -3.0488407086e-03, 8.9599541752e-02, 2.6006350282e-06, 4.3937044424e-05
1.9000000000e-02, -3.0654094909e-03, 9.5802330045e-02, 1.0470977877e-05, 4.3800168896e-05
2.0000000000e-02, -3.0503942458e-03, 1.0198157575e-01, 1.3687552780e-05, 4.0788907285e-05
2.1000000000e-02, -3.0821425237e-03, 1.0823179141e-01, 6.5015875705e-06, 5.0096443175e-05
2.2000000000e-02, -3.0992724956e-03, 1.1454004230e-01, 1.0744728932e-05, 4.8248623550e-05
2.3000000000e-02, -3.0625145735e-03, 1.2076596256e-01, 7.1859652095e-06, 4.0378280701e-05
2.4000000000e-02, -3.0527142860e-03, 1.2699893190e-01, 8.1440939041e-06, 4.2705164674e-05
2.5000000000e-02, -3.0798019522e-03, 1.3333647415e-01, 5.1328322925e-06, 4.7427370383e-05
2.6000000000e-02, -3.1024480077e-03, 1.3957594509e-01, 1.2592548558e-05, 4.7427370383e-05
2.7000000000e-02, -3.0802057350e-03, 1.4577763838e-01, 4.8590812369e-06, 4.3321104549e-05
2.8000000000e-02, -3.0759078436e-03, 1.5199911018e-01, 2.8743860838e-06, 4.2910477966e-05
2.9000000000e-02, -3.0905193058e-03, 1.5821127445e-01, 1.1429106571e-05, 4.4142357716e-05
3.0000000000e-02, -3.0584151516e-03, 1.6433693338e-01, 8.2125316681e-06, 4.9343627772e-05
3.1000000000e-02, -3.0585520271e-03, 1.7045177915e-01, 4.1062658340e-06, 4.0446718465e-05
3.2000000000e-02, -3.0443169726e-03, 1.7663602081e-01, 7.9387806124e-06, 4.1883911507e-05
3.3000000000e-02, -3.0696047257e-03, 1.8289465432e-01, 1.2045046446e-05, 4.4552984299e-05
3.4000000000e-02, -3.0394305163e-03, 1.8904460866e-01, 7.6650295568e-06, 4.8248623550e-05
3.5000000000e-02, -3.0100433413e-03, 1.9514638281e-01, 6.5015875705e-06, 4.4758297591e-05
3.6000000000e-02, -3.0381301989e-03, 2.0134999236e-01, 9.9919135295e-06, 4.8727687897e-05
3.7000000000e-02, -3.0206169755e-03, 2.0751021236e-01, 2.8743860838e-06, 4.5511112994e-05
3.8000000000e-02, -3.0192755954e-03, 2.1365592356e-01, 1.5330059114e-05, 4.9754254356e-05
3.9000000000e-02, -3.0585657146e-03, 2.1978719439e-01, 5.2697078203e-06, 4.1404847160e-05
4.0000000000e-02, -3.0515782191e-03, 2.2592161336e-01, 8.5547204876e-06, 4.5784864049e-05
4.1000000000e-02, -3.0291853834e-03, 2.3195638694e-01, 9.2390981266e-06, 4.3389542313e-05
