pos_index,position,sample_index,voltage
0,0.0,0,0.1198809
0,0.0,1,0.1211729
0,0.0,2,0.1219364
0,0.0,3,0.1207492
0,0.0,4,0.1220026
0,0.0,5,0.121686
0,0.0,6,0.1209503
0,0.0,7,0.1207744
0,0.0,8,0.1221384
0,0.0,9,0.1219712
0,0.0,10,0.120638
0,0.0,11,0.1190915
0,0.0,12,0.1214615
0,0.0,13,0.1217276
0,0.0,14,0.1208009
0,0.0,15,0.1199439
1,0.990630817590869,0,0.1238219
1,0.990630817590869,1,0.1224441
1,0.990630817590869,2,0.1235655
1,0.990630817590869,3,0.1251036
1,0.990630817590869,4,0.1244043
1,0.990630817590869,5,0.1233884
1,0.990630817590869,6,0.1244083
1,0.990630817590869,7,0.1249822
1,0.990630817590869,8,0.1252821
1,0.990630817590869,9,0.1245291
1,0.990630817590869,10,0.1235241
1,0.990630817590869,11,0.1237729
1,0.990630817590869,12,0.1247482
1,0.990630817590869,13,0.1242765
1,0.990630817590869,14,0.1229757
1,0.990630817590869,15,0.1234662
2,1.98858607745598,0,0.1247228
2,1.98858607745598,1,0.1253766
2,1.98858607745598,2,0.1255321
2,1.98858607745598,3,0.1242054
2,1.98858607745598,4,0.1237194
2,1.98858607745598,5,0.1244339
2,1.98858607745598,6,0.1251121
2,1.98858607745598,7,0.126455
2,1.98858607745598,8,0.1255617
2,1.98858607745598,9,0.1249355
2,1.98858607745598,10,0.1256891
2,1.98858607745598,11,0.1255316
2,1.98858607745598,12,0.1246638
2,1.98858607745598,13,0.1245934
2,1.98858607745598,14,0.1251503
2,1.98858607745598,15,0.1248317
3,2.98654133732108,0,0.1270026
3,2.98654133732108,1,0.1272502
3,2.98654133732108,2,0.1258006
3,2.98654133732108,3,0.1263787
3,2.98654133732108,4,0.1262096
3,2.98654133732108,5,0.1273542
3,2.98654133732108,6,0.1262391
3,2.98654133732108,7,0.125859
3,2.98654133732108,8,0.1269808
3,2.98654133732108,9,0.1270794
3,2.98654133732108,10,0.1267425
3,2.98654133732108,11,0.1257302
3,2.98654133732108,12,0.1261391
3,2.98654133732108,13,0.1260035
3,2.98654133732108,14,0.1269083
3,2.98654133732108,15,0.1263109
4,3.97106845301675,0,0.1270671
4,3.97106845301675,1,0.1263763
4,3.97106845301675,2,0.1253479
4,3.97106845301675,3,0.1261472
4,3.97106845301675,4,0.1274324
4,3.97106845301675,5,0.127197
4,3.97106845301675,6,0.1259924
4,3.97106845301675,7,0.1269417
4,3.97106845301675,8,0.1261077
4,3.97106845301675,9,0.1273305
4,3.97106845301675,10,0.1261739
4,3.97106845301675,11,0.1255037
4,3.97106845301675,12,0.1272297
4,3.97106845301675,13,0.1270286
4,3.97106845301675,14,0.1268424
4,3.97106845301675,15,0.1253074
5,4.95254371776482,0,0.1267227
5,4.95254371776482,1,0.1280456
5,4.95254371776482,2,0.1272938
5,4.95254371776482,3,0.1277967
5,4.95254371776482,4,0.1274261
5,4.95254371776482,5,0.1254929
5,4.95254371776482,6,0.1270267
5,4.95254371776482,7,0.1281794
5,4.95254371776482,8,0.1275765
5,4.95254371776482,9,0.126365
5,4.95254371776482,10,0.1268573
5,4.95254371776482,11,0.1280664
5,4.95254371776482,12,0.1280833
5,4.95254371776482,13,0.1265844
5,4.95254371776482,14,0.1270482
5,4.95254371776482,15,0.1275982
6,5.94805749687185,0,0.1278597
6,5.94805749687185,1,0.1279521
6,5.94805749687185,2,0.1279986
6,5.94805749687185,3,0.1281054
6,5.94805749687185,4,0.1267945
6,5.94805749687185,5,0.1283753
6,5.94805749687185,6,0.1277323
6,5.94805749687185,7,0.1274608
6,5.94805749687185,8,0.1277461
6,5.94805749687185,9,0.1275098
6,5.94805749687185,10,0.1279264
6,5.94805749687185,11,0.1288577
6,5.94805749687185,12,0.1281829
6,5.94805749687185,13,0.1270142
6,5.94805749687185,14,0.1277297
6,5.94805749687185,15,0.1289765
7,6.947233497116,0,0.1108716
7,6.947233497116,1,0.1104274
7,6.947233497116,2,0.1110507
7,6.947233497116,3,0.1099925
7,6.947233497116,4,0.1100133
7,6.947233497116,5,0.1116184
7,6.947233497116,6,0.1110973
7,6.947233497116,7,0.1107874
7,6.947233497116,8,0.1107127
7,6.947233497116,9,0.1104849
7,6.947233497116,10,0.1105387
7,6.947233497116,11,0.1124889
7,6.947233497116,12,0.1119689
7,6.947233497116,13,0.1114482
7,6.947233497116,14,0.1112349
7,6.947233497116,15,0.1109018
8,7.94579912717063,0,0.01687629
8,7.94579912717063,1,0.01667047
8,7.94579912717063,2,0.01648683
8,7.94579912717063,3,0.01626707
8,7.94579912717063,4,0.01589665
8,7.94579912717063,5,0.01625403
8,7.94579912717063,6,0.01571705
8,7.94579912717063,7,0.01590366
8,7.94579912717063,8,0.01803941
8,7.94579912717063,9,0.01774229
8,7.94579912717063,10,0.01654514
8,7.94579912717063,11,0.01528855
8,7.94579912717063,12,0.01570398
8,7.94579912717063,13,0.0169235
