pos_index,position,sample_index,voltage
0,0.0,0,0.7647067
0,0.0,1,0.764852
0,0.0,2,0.7648026
0,0.0,3,0.7648863
0,0.0,4,0.7647725
0,0.0,5,0.7646025
0,0.0,6,0.764949
0,0.0,7,0.7650574
0,0.0,8,0.7646999
0,0.0,9,0.7650059
0,0.0,10,0.7648878
0,0.0,11,0.7650064
0,0.0,12,0.7651738
0,0.0,13,0.7650207
0,0.0,14,0.7649699
0,0.0,15,0.764923
1,0.0993377483443709,0,0.7648659
1,0.0993377483443709,1,0.7650331
1,0.0993377483443709,2,0.7646881
1,0.0993377483443709,3,0.7651141
1,0.0993377483443709,4,0.7650215
1,0.0993377483443709,5,0.7648302
1,0.0993377483443709,6,0.7647678
1,0.0993377483443709,7,0.7649447
1,0.0993377483443709,8,0.7645251
1,0.0993377483443709,9,0.7648482
1,0.0993377483443709,10,0.764607
1,0.0993377483443709,11,0.764704
1,0.0993377483443709,12,0.7647206
1,0.0993377483443709,13,0.764768
1,0.0993377483443709,14,0.7646824
1,0.0993377483443709,15,0.7647383
2,0.197531052583392,0,0.7647243
2,0.197531052583392,1,0.7644358
2,0.197531052583392,2,0.7646103
2,0.197531052583392,3,0.7649823
2,0.197531052583392,4,0.7652228
2,0.197531052583392,5,0.7649444
2,0.197531052583392,6,0.7647773
2,0.197531052583392,7,0.7647675
2,0.197531052583392,8,0.7648537
2,0.197531052583392,9,0.7649251
2,0.197531052583392,10,0.7649508
2,0.197531052583392,11,0.7648932
2,0.197531052583392,12,0.7651446
2,0.197531052583392,13,0.7653417
2,0.197531052583392,14,0.7651799
2,0.197531052583392,15,0.7654764
3,0.296868800927763,0,0.7647618
3,0.296868800927763,1,0.7648209
3,0.296868800927763,2,0.7650017
3,0.296868800927763,3,0.7649126
3,0.296868800927763,4,0.7649275
3,0.296868800927763,5,0.7651873
3,0.296868800927763,6,0.7649816
3,0.296868800927763,7,0.7650032
3,0.296868800927763,8,0.7651864
3,0.296868800927763,9,0.7652094
3,0.296868800927763,10,0.7650598
3,0.296868800927763,11,0.7647411
3,0.296868800927763,12,0.7650787
3,0.296868800927763,13,0.7651891
3,0.296868800927763,14,0.7649928
3,0.296868800927763,15,0.7650205
4,0.395977660451064,0,0.7644781
4,0.395977660451064,1,0.7645953
4,0.395977660451064,2,0.7642267
4,0.395977660451064,3,0.7645261
4,0.395977660451064,4,0.7647902
4,0.395977660451064,5,0.7649232
4,0.395977660451064,6,0.7645706
