pos_index,position,sample_index,voltage
0,1.99896237067782,0,0.7521601
0,1.99896237067782,1,0.7525715
0,1.99896237067782,2,0.7529128
0,1.99896237067782,3,0.7525426
0,1.99896237067782,4,0.7525513
0,1.99896237067782,5,0.752416
0,1.99896237067782,6,0.7525114
0,1.99896237067782,7,0.7527448
0,1.99896237067782,8,0.7527337
0,1.99896237067782,9,0.752652
0,1.99896237067782,10,0.7524784
0,1.99896237067782,11,0.7524146
0,1.99896237067782,12,0.7521924
0,1.99896237067782,13,0.7525226
0,1.99896237067782,14,0.7527872
0,1.99896237067782,15,0.7524481
1,2.00262459181494,0,0.7520861
1,2.00262459181494,1,0.7525625
1,2.00262459181494,2,0.7520652
1,2.00262459181494,3,0.7524132
1,2.00262459181494,4,0.7524635
1,2.00262459181494,5,0.7525129
1,2.00262459181494,6,0.7524126
1,2.00262459181494,7,0.752489
1,2.00262459181494,8,0.7529482
1,2.00262459181494,9,0.7527285
1,2.00262459181494,10,0.7527452
1,2.00262459181494,11,0.7528613
1,2.00262459181494,12,0.7528896
1,2.00262459181494,13,0.7529138
1,2.00262459181494,14,0.7532906
1,2.00262459181494,15,0.7529136
2,2.00567644276254,0,0.7526309
2,2.00567644276254,1,0.7521632
2,2.00567644276254,2,0.7524256
2,2.00567644276254,3,0.7521388
2,2.00567644276254,4,0.7524796
2,2.00567644276254,5,0.7525443
2,2.00567644276254,6,0.752269
2,2.00567644276254,7,0.7521992
2,2.00567644276254,8,0.752252
2,2.00567644276254,9,0.7520911
2,2.00567644276254,10,0.752254
2,2.00567644276254,11,0.7518455
2,2.00567644276254,12,0.7521094
2,2.00567644276254,13,0.7521797
2,2.00567644276254,14,0.7518706
2,2.00567644276254,15,0.7521784
3,2.00933866389966,0,0.7524878
3,2.00933866389966,1,0.7519811
3,2.00933866389966,2,0.752275
3,2.00933866389966,3,0.752895
3,2.00933866389966,4,0.7521963
3,2.00933866389966,5,0.7525495
3,2.00933866389966,6,0.7524174
3,2.00933866389966,7,0.7523474
3,2.00933866389966,8,0.7522855
3,2.00933866389966,9,0.7522659
3,2.00933866389966,10,0.7522534
3,2.00933866389966,11,0.7522592
3,2.00933866389966,12,0.7521845
3,2.00933866389966,13,0.7524005
3,2.00933866389966,14,0.7521446
3,2.00933866389966,15,0.7522269
4,2.01300088503678,0,0.7524878
4,2.01300088503678,1,0.7520003
4,2.01300088503678,2,0.7519149
4,2.01300088503678,3,0.7518702
4,2.01300088503678,4,0.752033
4,2.01300088503678,5,0.752044
4,2.01300088503678,6,0.7520362
4,2.01300088503678,7,0.7521033
4,2.01300088503678,8,0.7521727
4,2.01300088503678,9,0.7520522
4,2.01300088503678,10,0.7520338
4,2.01300088503678,11,0.7519087
4,2.01300088503678,12,0.7519619
4,2.01300088503678,13,0.7522745
4,2.01300088503678,14,0.752267
4,2.01300088503678,15,0.7523716
5,2.01666310617389,0,0.7522017
5,2.01666310617389,1,0.7523276
5,2.01666310617389,2,0.7521452
5,2.01666310617389,3,0.7528443
5,2.01666310617389,4,0.7523864
5,2.01666310617389,5,0.7525913
5,2.01666310617389,6,0.752445
5,2.01666310617389,7,0.752243
5,2.01666310617389,8,0.7526512
5,2.01666310617389,9,0.7526299
5,2.01666310617389,10,0.7528364
5,2.01666310617389,11,0.752949
5,2.01666310617389,12,0.7526026
5,2.01666310617389,13,0.7526605
5,2.01666310617389,14,0.7525784
5,2.01666310617389,15,0.7527271
6,2.02032532731101,0,0.7527248
6,2.02032532731101,1,0.7526008
6,2.02032532731101,2,0.7526264
6,2.02032532731101,3,0.7524337
6,2.02032532731101,4,0.7525369
6,2.02032532731101,5,0.7525865
6,2.02032532731101,6,0.7524893
6,2.02032532731101,7,0.7525845
6,2.02032532731101,8,0.7526309
6,2.02032532731101,9,0.7526802
6,2.02032532731101,10,0.7526951
6,2.02032532731101,11,0.7526367
6,2.02032532731101,12,0.752866
6,2.02032532731101,13,0.7524713
6,2.02032532731101,14,0.7525625
